,nationality,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
2,Empfänger/innen insgesamt,328.56,332.0,357.77,314.76,319.69,327.77,334.51,367.83,380.75,385.66,390.19,399.38
3,    voll erwerbsgeminderte unter 65 Jahre,329.17,330.8,353.86,310.2,315.82,324.41,330.66,356.67,370.34,375.03,379.0,388.24
4,    Personen über 65 Jahre,328.08,332.89,360.5,318.22,322.68,330.41,337.5,376.63,388.9,394.01,399.04,408.21
5,  Deutsche,335.41,338.71,364.87,323.99,328.95,337.0,343.97,377.31,390.12,395.2,399.83,408.81
6,    voll erwerbsgeminderte unter 65 Jahre,332.99,334.46,357.22,315.53,321.45,330.28,337.35,362.87,376.14,381.29,385.74,395.06
7,    Personen über 65 Jahre,337.53,342.18,370.99,331.39,335.64,343.07,349.91,390.42,402.71,407.84,412.66,421.27
8,  EU - Ausländer,303.57,305.09,339.65,300.59,305.46,311.47,317.15,347.23,358.54,362.67,366.26,377.12
9,    voll erwerbsgeminderte unter 65 Jahre,301.67,306.18,349.07,307.4,311.53,316.91,324.39,351.74,366.98,373.12,374.4,382.16
10,    Personen über 65 Jahre,305.3,304.38,334.96,297.03,302.48,308.69,313.57,345.01,354.23,357.69,362.43,374.8
11,  Ausländer,279.25,287.92,323.93,271.86,276.85,285.38,291.43,325.72,340.62,346.9,351.98,362.41
12,    voll erwerbsgeminderte unter 65 Jahre,281.17,290.53,324.31,265.41,269.82,277.9,278.45,308.76,326.69,330.26,333.65,344.67
13,    Personen über 65 Jahre,278.59,287.0,323.8,274.21,279.52,288.33,296.64,332.66,346.37,353.96,360.17,370.71
15,Zusammen,315.28,318.08,341.64,301.91,307.34,316.3,323.48,352.1,365.19,370.54,374.7,384.56
16,    voll erwerbsgeminderte unter 65 Jahre,327.03,328.16,346.78,307.0,313.14,321.46,328.48,351.49,363.94,368.99,372.19,382.47
17,    Personen über 65 Jahre,301.09,307.17,336.53,296.66,301.33,310.95,318.4,352.71,366.42,372.02,377.08,386.53
18,  Deutsche,322.03,324.7,348.04,309.78,315.12,323.93,331.75,359.94,373.01,378.72,383.26,392.98
19,    voll erwerbsgeminderte unter 65 Jahre,330.16,331.36,350.05,311.02,317.08,325.61,333.39,356.02,368.3,373.9,377.79,387.84
20,    Personen über 65 Jahre,310.73,316.46,345.63,308.25,312.68,321.88,329.79,364.49,378.36,383.99,389.17,398.46
21,  EU - Ausländer,302.28,304.96,327.75,292.32,296.34,303.11,308.95,339.72,348.12,352.06,354.54,365.77
22,    voll erwerbsgeminderte unter 65 Jahre,309.98,311.46,339.65,306.96,317.09,321.53,325.35,353.48,362.83,366.08,368.06,381.5
23,    Personen über 65 Jahre,294.59,300.51,321.6,284.84,286.6,294.11,301.55,333.27,340.78,345.4,348.42,358.79
24,  Ausländer,263.38,270.14,307.55,259.71,265.94,275.89,279.71,309.91,325.38,329.98,333.07,344.06
25,    voll erwerbsgeminderte unter 65 Jahre,278.79,284.36,310.11,263.9,271.21,279.41,280.95,307.61,325.03,327.7,327.95,341.18
26,    Personen über 65 Jahre,257.41,264.53,306.63,258.01,263.73,274.34,279.15,310.99,325.55,331.12,335.81,345.65
28,Zusammen,340.12,344.32,371.68,326.45,331.04,338.35,344.74,382.97,395.97,400.97,406.12,414.75
29,    voll erwerbsgeminderte unter 65 Jahre,332.08,334.33,362.95,314.32,319.23,328.1,333.36,363.17,378.41,382.65,387.62,395.53
30,    Personen über 65 Jahre,344.47,349.55,376.08,333.28,337.91,344.52,351.63,395.32,406.91,412.75,418.2,427.45
31,  Deutsche,347.14,351.24,379.74,337.36,342.15,349.51,355.8,394.9,407.73,413.01,418.09,426.42
32,    voll erwerbsgeminderte unter 65 Jahre,336.94,338.76,366.89,321.62,327.31,336.4,342.52,371.89,386.5,391.09,396.34,404.69
33,    Personen über 65 Jahre,353.03,358.22,386.83,347.24,351.77,358.31,364.78,411.1,422.79,429.27,434.45,442.84
34,  EU - Ausländer,305.45,305.28,354.27,310.81,316.21,321.3,326.73,355.76,369.99,373.43,377.68,387.89
35,    voll erwerbsgeminderte unter 65 Jahre,287.88,297.86,361.38,307.92,305.41,311.81,323.4,349.9,371.41,380.24,380.28,382.76
36,    Personen über 65 Jahre,319.17,309.81,350.91,312.36,321.8,326.42,328.55,358.79,369.25,370.19,376.41,390.34
37,  Ausländer,291.86,301.79,335.78,280.75,284.88,292.34,299.97,337.31,352.07,359.64,366.4,376.6
38,    voll erwerbsgeminderte unter 65 Jahre,283.38,296.06,335.73,266.67,268.65,276.61,276.31,309.76,328.24,332.64,339.08,347.99
39,    Personen über 65 Jahre,294.52,303.65,335.79,285.49,290.58,298.04,308.61,347.41,360.62,369.67,376.99,388.31
