Kennung;Name;" je 100 der Bevölkerung1)
(18 - 64 Jahre,
insgesamt)";" je 100 der Bevölkerung1)
(ab 65 Jahre,
insgesamt)";" je 100 der Bevölkerung1)
(18 - 64 Jahre,
Deutsche)";" je 100 der Bevölkerung1)
(ab 65 Jahre,
Deutsche)";" je 100 der Bevölkerung1)
(18 - 64 Jahre,
Ausländer)";" je 100 der Bevölkerung1)
(ab 65 Jahre,
Ausländer)"
01011101;Stülerstr.;0.95;8.14;1.26;6.46;0.66;17.92
01011102;Großer Tiergarten;1.95;14.29;3.23;15.38;0.00;0.00
01011103;Lützowstr.;1.80;20.02;2.33;13.48;1.05;44.79
01011104;Körnerstr.;1.11;27.05;1.24;22.43;0.97;40.43
01011105;Nördl. Landwehrkanal;0.29;2.37;0.20;1.21;0.37;6.52
01011201;Wilhelmstr.;0.30;3.75;0.34;1.86;0.25;11.54
01011202;Unter den Linden Nord;0.22;1.09;0.38;1.23;0.00;0.00
01011203;Unter den Linden Süd;0.37;3.41;0.67;2.67;0.00;7.69
01011204;Leipziger Str.;0.78;4.60;1.15;3.31;0.22;17.33
01011301;Charitéviertel;0.39;2.94;0.58;3.01;0.05;2.41
01011302;Oranienburger Str.;0.58;5.32;0.76;4.71;0.20;9.76
01011303;Alexanderplatzviertel;0.83;6.70;1.30;5.77;0.19;19.61
01011304;Karl-Marx-Allee;1.50;2.97;2.00;2.03;0.68;27.08
01011305;Heine-Viertel West;0.46;2.14;0.68;1.38;0.05;15.84
01011306;Heine-Viertel Ost;0.51;2.72;0.76;2.23;0.10;9.52
01011401;Invalidenstr.;0.43;5.99;0.63;5.71;0.06;7.94
01011402;Arkonaplatz;0.30;5.63;0.44;5.44;0.03;7.23
01022101;Huttenkiez;1.38;20.27;1.59;19.34;1.08;22.62
01022102;Beusselkiez;1.68;22.71;2.03;21.86;1.26;23.98
01022103;Westhafen;17.34;30.00;45.76;25.00;2.63;37.50
01022104;Emdener Str.;1.57;16.05;1.93;14.27;0.93;20.93
01022105;Zwinglistr.;1.81;20.07;1.95;16.88;1.61;27.38
01022106;Elberfelder Str.;1.07;7.65;1.22;6.69;0.61;15.42
01022201;Stephankiez;1.46;14.78;1.71;14.07;0.97;16.80
01022202;Heidestr.;1.74;15.05;1.79;13.38;1.66;18.75
01022203;Lübecker Str.;1.95;19.03;2.01;14.43;1.84;28.48
01022204;Thomasiusstr.;1.25;9.62;1.47;7.80;0.83;22.76
01022205;Zillesiedlung;3.45;21.40;5.00;17.95;1.00;34.51
01022206;Lüneburger Str.;1.11;11.73;1.07;10.34;1.21;20.63
01022207;Hansaviertel;0.78;9.15;1.07;6.78;0.40;33.33
01033101;Soldiner Str.;1.70;17.62;2.29;14.43;1.02;24.76
01033102;Gesundbrunnen;1.51;14.38;1.75;10.80;1.21;21.86
01033201;Brunnenstr.;1.80;18.26;2.10;15.32;1.32;26.47
01033202;Humboldthain Süd;1.86;11.93;2.42;10.85;0.87;16.88
01033203;Humboldthain NW;2.15;18.29;2.84;14.45;1.34;27.40
01044101;Rehberge;1.42;10.16;1.67;8.04;0.99;20.30
01044102;Schillerpark;1.76;7.39;2.06;6.56;1.09;15.90
01044103;Westl. Müllerstr.;1.28;17.40;1.69;14.49;0.64;25.62
01044201;Reinickendorfer Str.;1.88;18.08;2.34;15.76;1.41;22.27
01044202;Sparrplatz;1.67;18.26;2.44;15.02;0.73;26.44
01044203;Leopoldplatz;2.59;21.35;3.48;18.58;1.47;27.59
02010101;Askanischer Platz;2.12;23.19;3.18;18.65;1.09;34.08
02010102;Mehringplatz;2.63;25.30;3.43;20.78;1.45;36.07
02010103;Moritzplatz;2.27;17.48;2.71;15.74;1.69;20.98
02010104;Wassertorplatz;2.98;26.89;3.60;22.57;2.03;36.61
02020201;Gleisdreieck/Entwickl.-gebiet;0.85;2.09;1.12;1.90;0.00;3.45
02020202;Rathaus Yorckstraße;1.20;13.54;1.27;12.25;1.05;18.25
02020203;Viktoriapark;0.77;11.45;0.83;10.73;0.60;14.76
02020204;Urbanstraße;1.21;14.35;1.41;12.26;0.77;21.63
02020205;Chamissokiez;1.17;13.14;1.30;12.66;0.85;14.60
02020206;Graefekiez;1.54;16.49;1.61;13.30;1.40;26.36
02030301;Oranienplatz;2.72;22.31;3.16;27.14;2.08;19.14
02030302;Lausitzer Platz;2.18;20.86;2.50;22.32;1.63;18.74
02030401;Reichenberger Straße;1.86;17.20;2.28;17.44;1.11;16.74
02030402;Wrangelkiez;1.52;18.50;1.89;21.01;0.88;15.80
02040501;Barnimkiez;1.67;1.84;1.90;1.58;0.97;17.86
